Code,Description
"10001","Afognak Lake Airport"
"10004","Lik Mining Camp"
"10005","Little Squaw Airport"
"10006","Kizhuyak Bay"
"10007","Klawock Seaplane Base"
"10008","Elizabeth Island Airport"
"10009","Augustin Island"
"10010","Columbia County"
"10011","Grand Canyon West"
"10012","Blairstown Airport"
"10013","Crosbyton Municipal"
"10014","Blair Lake"
"10015","Deadmans Bay Airport"
"10016","Hallo Bay Airport"
"10017","Red Lake Airport"
"10018","Shell Lake Airport"
"10019","Navigator Airstrip"
"10020","Roland Norton Memorial"
"10021","Pillar Bay Airport"
"10022","Johnstone Point Airport"
"10023","Tikchik Lodge Airport"
"10024","Bell Creek Airport"
"10025","Cinnabar Airport"
"10026","Mountaintop Mine Airport"
"10027","Whitebear Airport"
"10028","Puviaq Airport"
"10029","Arley Lake Airport"
"10030","Port Vita Airport"
"10031","Kantishna Airport"
"10033","Alpine Airstrip"
"10034","Serpentine Airport"
"10035","Driftwood Bay Airport"
"10036","Bradley Lake Airport"
"10037","Chilkat Lake Airport"
"10038","Nugget Creek Airport"
"10039","Ivotuk Airstrip"
"10040","Pogo Mines Airport"
"10041","Ayakulik River Airport"
"10042","Kiluda Bay Airport"
"10043","Terror Lake Airport"
"10044","Selief Bay Airport"
"10047","Laura Lake Airport"
"10049","Deep Bay Airport"
"10050","Kako Airport"
"10051","Molly Creek Airport"
"10052","Ptarmigan Lake Airport"
"10053","Cape Simpson Airport"
"10054","Kogru River Airport"
"10055","Teshepkuk Lake Airport"
"10056","Trident Basin Seaplane Base"
"10058","Lake Florence Airport"
"10059","Lake Hasselborg Airport"
"10060","Distin Lake Airport"
"10061","Port Hobron Airport"
"10062","Mooseville Airstrip Airport"
"10063","Big Bay Airport"
"10064","Wien Lake Airport"
"10065","Silver Salmon Creek Airport"
"10066","Blear Lake Airport"
"10067","Cannery Bay Airport"
"10069","Johnsons Landing"
"10070","International Seafoods Airport"
"10071","Cosna River Airport"
"10072","Ivatuk Airport"
"10074","Cape Sarichef Airport"
"10075","Taylor Mountain"
"10076","Coal Creek"
"10078","Karluk Portage Airport"
"10079","Hope Airport"
"10080","Viekoda Bay Airport"
"10082","Cathedral Strip"
"10083","Village Islands Airport"
"10084","Bear Cove Farm"
"10085","Chinitna Bay Airport"
"10086","McKinley National Park"
"10087","Dog Fish Bay"
"10088","Malina Bay Airport"
"10089","Red Fox Bay Airport"
"10090","Shearwater Airport"
"10091","Lake"
"10092","Cape Simpson No. 1"
"10093","Cape Simpson No. 7"
"10094","Cape Simpson #1"
"10095","Nikiski Private Airstrip"
"10096","Petrof Point Airport"
"10097","Denali West Lodge Private"
"10098","Big River Airport"
"10100","Carry Inlet Airport"
"10102","Montague Island Airport"
"10103","Shannon Pond Airport"
"10104","Omalik Lagoon Airport"
"10105","Omolik Lagoon Airport"
"10106","Bradley Lake Project Airport"
"10107","Ice Strip"
"10108","Ice Strip"
"10109","Ice Strip"
"10110","Akulik Air Strip"
"10111","Deadfall Air Strip"
"10112","Eagle Creek Airport"
"10113","Ice Kong"
"10116","Glacier Split"
"10117","Selby Lake Airport"
"10118","Anaa Airport"
"10119","Arrabury Station"
"10120","El Arish International"
"10121","Rabah Bitat"
"10122","Apalachicola Regional Cleve Randolph Field"
"10123","Aachen Merzbrueck"
"10124","Arraias Airport"
"10125","Aalborg Airport"
"10126","Malamala"
"10127","Al Ain International"
"10128","Anaco Airport"
"10129","Vityazevo"
"10130","Aarhus Airport"
"10131","Asau W Sam"
"10132","Araxa Airport"
"10134","Abadan Airport"
"10135","Lehigh Valley International"
"10136","Abilene Regional"
"10137","Felix Houphouet Boigny Abidjan International"
"10138","Kebri Dahar"
"10139","Ambler River"
"10140","Albuquerque International Sunport"
"10141","Aberdeen Regional"
"10142","Abu Simbel Airport"
"10143","King Saud Bin Abdulaziz"
"10144","Nnamdi Azikiwe International"
"10145","Albury Airport"
"10146","Southwest Georgia Regional"
"10147","Aberdeen Dyce"
"10148","General Juan N Alvarez International"
"10149","Antrim County"
"10150","Accra Kotoka International"
"10151","Lanzarote"
"10152","St Gallen Altenrhein"
"10153","Alderney Airport"
"10154","Nantucket Memorial"
"10155","Waco Regional"
"10156","Achutupo Airport"
"10157","California Redwood Coast Humboldt County"
"10158","Atlantic City International"
"10159","Adana International"
"10160","Adnan Menderes"
"10161","Andakombe Airport"
"10162","Bole International"
"10163","Aden International"
"10164","Marka International"
"10165","Adak"
"10166","Adelaide International"
"10167","Ardmore Municipal"
"10168","Andes Airport"
"10169","Andamooka Airport"
"10170","Kodiak Airport"
"10171","Addison"
"10172","Joint Base Andrews"
"10173","RAF Leuchars"
"10174","Gustavo Rojas Pinilla"
"10175","Al Dhafra Air Base"
"10176","Aleneva Airport"
"10177","Aek Godang"
"10178","Abeche Airport"
"10180","Aioun El Atrouss Airport"
"10181","Aeroparque Jorge Newbery"
"10182","Adler/Sochi Airport"
"10183","Vigra"
"10184","Allakaket Airport"
"10185","Alexandria International"
"10186","Akureyri Airport"
"10188","San Rafael Airport"
"10189","USAF Academy Airfield"
"10190","Nebraska City Municipal"
"10191","Afton Municipal"
"10192","Anson County Jeff Cloud Field"
"10194","Fort Worth Alliance"
"10195","Afyon Airport"
"10196","Inezgane"
"10197","Augsburg Airport"
"10198","Allegheny County"
"10199","Agen La Garenne"
"10200","Angoram Airport"
"10201","Angelholm"
"10202","Kagua Airport"
"10203","Wanigela Airport"
"10204","Angoon Seaplane Base"
"10205","Malaga Airport"
"10206","Agrinion Airport"
"10207","Agra Airport"
